rating,text,product_id
5,I love this product!!!!,1
5,Highly recommended,1
4,My pet enjoys this.,2
4,It does the trick., 2
2,Did not fit my dog.,9
5,My cat loved it!,6
4,Would be better if Olaf themed,3
3,Wasn't what I expected.,2
4,This product is great,5
5,This product is really great quality and a good value,10
5,Everyone should have one of these!,3
2,After a week it broke and I will have to keep searching for a better one,4
5,Dog is no longer thirsty!,8
5,Perfect!,10
1,Very poor quality.,9
5,Exactly what I expected.,7
